ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
P21728,D(1A) dopamine receptor,DRD1,30397,X55760,P21728,DRD1_HUMAN,1OZ5,,DRD1,HGNC:3020,Human,DB00353; DB00477; DB00508; DB00623; DB00679; DB00800; DB00850; DB00875; DB00988; DB01038; DB01063; DB01235; DB01239; DB01608; DB01614; DB01621; DB01623; DB01624
P35916,Vascular endothelial growth factor receptor 3,FLT4,297050,X69878,P35916,VGFR3_HUMAN,4BSJ; 4BSK,,FLT4,HGNC:3767,Human,DB00398; DB01268; DB06589; DB06626; DB08896; DB09078; DB09079
P51168,Amiloride-sensitive sodium channel subunit beta,SCNN1B,1004271,X87159,P51168,SCNNB_HUMAN,"",,SCNN1B,HGNC:10600,Human,DB00384; DB00594
Q9H4B7,Tubulin beta-1 chain,TUBB1,11230445,AJ292757,Q9H4B7,TBB1_HUMAN,"",,TUBB1,HGNC:16257,Human,DB00309; DB01229; DB01248; DB01394; DB06772
P17948,Vascular endothelial growth factor receptor 1,FLT1,31432,X51602,P17948,VGFR1_HUMAN,1FLT; 1QSV; 1QSZ; 1QTY; 1RV6; 2XAC; 3HNG; 4CKV; 4CL7,,FLT1,HGNC:3763,Human,DB00398; DB01268; DB06589; DB06626; DB08896; DB09078; DB09079
Q9UPY5,Cystine/glutamate transporter,SLC7A11,5668545,AB026891,Q9UPY5,XCT_HUMAN,"",,SLC7A11,HGNC:11059,Human,DB00740; DB06151
P06213,Insulin receptor,INSR,307070,M10051,P06213,INSR_HUMAN,1GAG; 1I44; 1IR3; 1IRK; 1P14; 1RQQ; 2AUH; 2B4S; 2DTG; 2HR7; 2MFR; 2Z8C; 3BU3; 3BU5; 3BU6; 3EKK; 3EKN; 3ETA; 3LOH; 3W11; 3W12; 3W13; 3W14; 4IBM; 4OGA; 4XLV; 4XSS; 4XST; 5E1S,,INSR,HGNC:6091,Human,DB00030; DB00046; DB00047; DB00071; DB01306; DB01307; DB01309; DB09129; DB09564
P9WNL9,Probable arabinosyltransferase A,embA,,,P9WNL9,EMBA_MYCTU,"",,,,Mycobacterium tuberculosis,DB00330
P04049,RAF proto-oncogene serine/threonine-protein kinase,RAF1,35842,X03484,P04049,RAF1_HUMAN,1C1Y; 1FAQ; 1FAR; 1GUA; 1RFA; 3CU8; 3IQJ; 3IQU; 3IQV; 3KUC; 3KUD; 3NKX; 3O8I; 3OMV; 4FJ3; 4G0N; 4G3X; 4IEA; 4IHL,,RAF1,HGNC:9829,Human,DB00398; DB08896; DB08912
P12259,Coagulation factor V,F5,182412,M16967,P12259,FA5_HUMAN,1CZS; 1CZT; 1CZV; 1FV4; 1Y61; 3P6Z; 3P70; 3S9C,,F5,HGNC:3542,Human,DB00055; DB13149; DB13151
O00764,Pyridoxal kinase,PDXK,1946349,U89606,O00764,PDXK_HUMAN,2AJP; 2F7K; 2YXT; 2YXU; 3FHX; 3FHY; 3KEU; 4EN4; 4EOH,,PDXK,HGNC:8819,Human,DB00147; DB00165
P24530,Endothelin B receptor,EDNRB,182276,M74921,P24530,EDNRB_HUMAN,"",,EDNRB,HGNC:3180,Human,DB00559; DB08932
P20309,Muscarinic acetylcholine receptor M3,CHRM3,32324,X15266,P20309,ACM3_HUMAN,2CSA,,CHRM3,HGNC:1952,Human,DB00185; DB00332; DB00383; DB00387; DB00496; DB00505; DB00517; DB00572; DB00725; DB00729; DB00767; DB00785; DB01036; DB01062; DB01085; DB01142; DB01231; DB01409; DB01591; DB01625; DB04843; DB06702; DB06709; DB06787; DB08897; DB09076; DB09167; DB09262; DB09300; DB09357
Q9H2X9,Solute carrier family 12 member 5,SLC12A5,12003227,AF208159,Q9H2X9,S12A5_HUMAN,"",,SLC12A5,HGNC:13818,Human,DB00887
P00734,Prothrombin,F2,339641,M17262,P00734,THRB_HUMAN,1A2C; 1A3B; 1A3E; 1A46; 1A4W; 1A5G; 1A61; 1ABI; 1ABJ; 1AD8; 1AE8; 1AFE; 1AHT; 1AI8; 1AIX; 1AWF; 1AWH; 1AY6; 1B5G; 1B7X; 1BA8; 1BB0; 1BCU; 1BHX; 1BMM; 1BMN; 1BTH; 1C1U; 1C1V; 1C1W; 1C4U; 1C4V; 1C4Y; 1C5L; 1C5N; 1C5O; 1CA8; 1D3D; 1D3P; 1D3Q; 1D3T; 1D4P; 1D6W; 1D9I; 1DE7; 1DIT; 1DM4; 1DOJ; 1DWB; 1DWC; 1DWD; 1DWE; 1DX5; 1E0F; 1EB1; 1EOJ; 1EOL; 1FPC; 1FPH; 1G30; 1G32; 1G37; 1GHV; 1GHW; 1GHX; 1GHY; 1GJ4; 1GJ5; 1H8D; 1H8I; 1HAG; 1HAH; 1HAI; 1HAO; 1HAP; 1HBT; 1HDT; 1HGT; 1HLT; 1HUT; 1HXE; 1HXF; 1IHS; 1IHT; 1JMO; 1JOU; 1JWT; 1K21; 1K22; 1KTS; 1KTT; 1LHC; 1LHD; 1LHE; 1LHF; 1LHG; 1MH0; 1MU6; 1MU8; 1MUE; 1NM6; 1NO9; 1NRN; 1NRO; 1NRP; 1NRQ; 1NRR; 1NRS; 1NT1; 1NU7; 1NU9; 1NY2; 1NZQ; 1O0D; 1O2G; 1O5G; 1OOK; 1OYT; 1P8V; 1PPB; 1QBV; 1QHR; 1QJ1; 1QJ6; 1QJ7; 1QUR; 1RD3; 1RIW; 1SB1; 1SFQ; 1SG8; 1SGI; 1SHH; 1SL3; 1SR5; 1T4U; 1T4V; 1TA2; 1TA6; 1TB6; 1TBZ; 1THP; 1THR; 1THS; 1TMB; 1TMT; 1TMU; 1TOM; 1TQ0; 1TQ7; 1TWX; 1UMA; 1UVS; 1VR1; 1VZQ; 1W7G; 1WAY; 1WBG; 1XM1; 1XMN; 1YPE; 1YPG; 1YPJ; 1YPK; 1YPL; 1YPM; 1Z71; 1Z8I; 1Z8J; 1ZGI; 1ZGV; 1ZRB; 2A0Q; 2A2X; 2A45; 2AFQ; 2ANK; 2ANM; 2B5T; 2BDY; 2BVR; 2BVS; 2BVX; 2BXT; 2BXU; 2C8W; 2C8X; 2C8Y; 2C8Z; 2C90; 2C93; 2CF8; 2CF9; 2CN0; 2FEQ; 2FES; 2GDE; 2GP9; 2H9T; 2HGT; 2HNT; 2HPP; 2HPQ; 2HWL; 2JH0; 2JH5; 2JH6; 2OD3; 2PGB; 2PGQ; 2PKS; 2PW8; 2R2M; 2THF; 2UUF; 2UUJ; 2UUK; 2V3H; 2V3O; 2ZC9; 2ZDA; 2ZDV; 2ZF0; 2ZFF; 2ZFP; 2ZFQ; 2ZFR; 2ZG0; 2ZGB; 2ZGX; 2ZHE; 2ZHF; 2ZHQ; 2ZHW; 2ZI2; 2ZIQ; 2ZNK; 2ZO3; 3B23; 3B9F; 3BEF; 3BEI; 3BF6; 3BIU; 3BIV; 3BV9; 3C1K; 3C27; 3D49; 3DA9; 3DD2; 3DHK; 3DT0; 3DUX; 3E6P; 3EE0; 3EGK; 3EQ0; 3F68; 3GIC; 3GIS; 3HAT; 3HKJ; 3HTC; 3JZ1; 3JZ2; 3K65; 3LDX; 3LU9; 3NXP; 3P17; 3P6Z; 3P70; 3PMH; 3PO1; 3QDZ; 3QGN; 3QLP; 3QTO; 3QTV; 3QWC; 3QX5; 3R3G; 3RLW; 3RLY; 3RM0; 3RM2; 3RML; 3RMM; 3RMN; 3RMO; 3S7H; 3S7K; 3SHA; 3SHC; 3SI3; 3SI4; 3SQE; 3SQH; 3SV2; 3T5F; 3TU7; 3U69; 3U8O; 3U8R; 3U8T; 3U98; 3U9A; 3UTU; 3UWJ; 3VXE; 3VXF; 4AX9; 4AYV; 4AYY; 4AZ2; 4BAH; 4BAK; 4BAM; 4BAN; 4BAO; 4BAQ; 4BOH; 4CH2; 4CH8; 4DIH; 4DII; 4DT7; 4DY7; 4E05; 4E06; 4E7R; 4H6S; 4H6T; 4HFP; 4HTC; 4HZH; 4I7Y; 4LOY; 4LXB; 4LZ1; 4LZ4; 4MLF; 4N3L; 4NZE; 4NZQ; 4O03; 4RKJ; 4RKO; 4RN6; 4THN; 4UD9; 4UDW; 4UE7; 4UEH; 4YES; 5AF9; 5AFY; 5AFZ; 5AHG; 5E8E; 5GDS; 7KME; 8KME,,F2,HGNC:3535,Human,DB00001; DB00006; DB00278; DB04898; DB05777; DB06695; DB09228; DB11166; DB12598; DB12831; DB13151
P30273,High affinity immunoglobulin epsilon receptor subunit gamma,FCER1G,182488,M33195,P30273,FCERG_HUMAN,"",,FCER1G,HGNC:3611,Human,DB00895
P13716,Delta-aminolevulinic acid dehydratase,ALAD,178329,M13928,P13716,HEM2_HUMAN,1E51; 1PV8,,ALAD,HGNC:395,Human,DB00855
P14060,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1,HSD3B1,306889,M27137,P14060,3BHS1_HUMAN,"",,HSD3B1,HGNC:5217,Human,DB01108; DB01536
P61889,Malate dehydrogenase,mdh,41989,Y00129,P61889,MDH_ECOLI,1CME; 1EMD; 1IB6; 1IE3; 2CMD; 2PWZ; 3HHP,,,,Escherichia coli (strain K12),DB00336
P06818,Neuraminidase,NA,324460,K01150,P06818,NRAM_I79A0,"",,,,Influenza A virus (strain A/Bangkok/1/1979 H3N2),DB00558
P14780,Matrix metalloproteinase-9,MMP9,177205,J05070,P14780,MMP9_HUMAN,1GKC; 1GKD; 1ITV; 1L6J; 1LKG; 2OVX; 2OVZ; 2OW0; 2OW1; 2OW2; 4H1Q; 4H2E; 4H3X; 4H82; 4HMA; 4JIJ; 4JQG; 4WZV; 4XCT,,MMP9,HGNC:7176,Human,DB00786; DB01296
P26439,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2,HSD3B2,184401,M67466,P26439,3BHS2_HUMAN,"",,HSD3B2,HGNC:5218,Human,DB01108
P21554,Cannabinoid receptor 1,CNR1,29915,X54937,P21554,CNR1_HUMAN,1LVQ; 1LVR; 2B0Y; 2KOE,,CNR1,HGNC:2159,Human,DB00470; DB00486; DB06155
P30556,Type-1 angiotensin II receptor,AGTR1,179122,M91464,P30556,AGTR1_HUMAN,1ZV0; 4YAY; 4ZUD,,AGTR1,HGNC:336,Human,DB00177; DB00275; DB00678; DB00796; DB00876; DB00966; DB01029; DB01342; DB01347; DB01349; DB08822; DB09279; DB13919
P34995,Prostaglandin E2 receptor EP1 subtype,PTGER1,410209,L22647,P34995,PE2R1_HUMAN,"",,PTGER1,HGNC:9593,Human,DB00429; DB00770; DB00905; DB00917; DB01088
P11836,B-lymphocyte antigen CD20,MS4A1,29774,X12530,P11836,CD20_HUMAN,1S8B; 2OSL; 3BKY; 3PP4,,MS4A1,HGNC:7315,Human,DB00073; DB00078; DB00081; DB06650; DB08935; DB11988
P29475,"Nitric oxide synthase, brain",NOS1,642526,U17327,P29475,NOS1_HUMAN,4D1N; 4UCH; 4UH5; 4UH6; 4V3U; 5ADF; 5ADG; 5ADI,,NOS1,HGNC:7872,Human,DB09241
P07195,L-lactate dehydrogenase B chain,LDHB,1200083,X13794,P07195,LDHB_HUMAN,1I0Z; 1T2F,,LDHB,HGNC:6541,Human,DB09118
Q07869,Peroxisome proliferator-activated receptor alpha,PPARA,307341,L02932,Q07869,PPARA_HUMAN,1I7G; 1K7L; 1KKQ; 2NPA; 2P54; 2REW; 2ZNN; 3ET1; 3FEI; 3G8I; 3KDT; 3KDU; 3SP6; 3VI8; 4BCR; 4CI4,,PPARA,HGNC:9232,Human,DB00636; DB01039; DB01241; DB01393; DB03756; DB08915; DB09422; DB13873
P10912,Growth hormone receptor,GHR,31738,X06562,P10912,GHR_HUMAN,1A22; 1AXI; 1HWG; 1HWH; 1KF9; 2AEW; 3HHR,,GHR,HGNC:4263,Human,DB00052; DB00082
P00492,Hypoxanthine-guanine phosphoribosyltransferase,HPRT1,306885,M31642,P00492,HPRT_HUMAN,1BZY; 1D6N; 1HMP; 1Z7G; 2VFA; 3GEP; 3GGC; 3GGJ; 4IJQ; 4KN6; 4RAB; 4RAC; 4RAD; 4RAN; 4RAO; 4RAQ; 5BRN; 5BSK,,HPRT1,HGNC:5157,Human,DB00993; DB01033
P28702,Retinoic acid receptor RXR-beta,RXRB,30448,X63522,P28702,RXRB_HUMAN,1H9U; 1UHL,,RXRB,HGNC:10478,Human,DB00210; DB00307; DB00459; DB00523; DB00755; DB00799; DB00926; DB03756
Q8IWU9,Tryptophan 5-hydroxylase 2,TPH2,27497159,AY098914,Q8IWU9,TPH2_HUMAN,4V06,,TPH2,HGNC:20692,Human,DB12095
P12277,Creatine kinase B-type,CKB,180572,M16451,P12277,KCRB_HUMAN,3B6R; 3DRB; 3DRE,,CKB,HGNC:1991,Human,DB00148; DB13191
P31358,CAMPATH-1 antigen,CD52,29646,X62466,P31358,CD52_HUMAN,"",,CD52,HGNC:1804,Human,DB00087
Q13639,5-hydroxytryptamine receptor 4,HTR4,2661757,Y12505,Q13639,5HT4R_HUMAN,"",,HTR4,HGNC:5299,Human,DB00604; DB01079; DB06480
P02792,Ferritin light chain,FTL,182514,M11147,P02792,FRIL_HUMAN,2FFX; 2FG4; 2FG8; 3KXU; 4V6B,,FTL,HGNC:3999,Human,DB00893; DB09517
Q12809,Potassium voltage-gated channel subfamily H member 2,KCNH2,487738,U04270,Q12809,KCNH2_HUMAN,1BYW; 1UJL; 2L0W; 2L1M; 2L4R; 2LE7; 4HP9; 4HQA,,KCNH2,HGNC:6251,Human,DB00204; DB00308; DB00489; DB01100; DB01118; DB01182; DB01218
Q969P6,"DNA topoisomerase I, mitochondrial",TOP1MT,15919359,AF349031,Q969P6,TOP1M_HUMAN,"",,TOP1MT,HGNC:29787,Human,DB00762
P11229,Muscarinic acetylcholine receptor M1,CHRM1,34451,X52068,P11229,ACM1_HUMAN,"",,CHRM1,HGNC:1950,Human,DB00185; DB00202; DB00219; DB00245; DB00332; DB00340; DB00354; DB00376; DB00383; DB00387; DB00392; DB00411; DB00424; DB00462; DB00505; DB00508; DB00517; DB00572; DB00670; DB00725; DB00747; DB00767; DB00771; DB00782; DB00785; DB00804; DB00810; DB00942; DB00979; DB00986; DB01036; DB01062; DB01085; DB01142; DB01148; DB01231; DB01233; DB04843; DB08897; DB09167; DB09262
P34972,Cannabinoid receptor 2,CNR2,407807,X74328,P34972,CNR2_HUMAN,2KI9,,CNR2,HGNC:2160,Human,DB00486
Q9NS75,Cysteinyl leukotriene receptor 2,CYSLTR2,9663958,AB038269,Q9NS75,CLTR2_HUMAN,"",,CYSLTR2,HGNC:18274,Human,DB00716
P44469,Penicillin-binding protein 2,mrdA,1572976,L42023,P44469,PBP2_HAEIN,"",,,,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),DB00303; DB00671
P35610,Sterol O-acyltransferase 1,SOAT1,4878022,L21934,P35610,SOAT1_HUMAN,"",,SOAT1,HGNC:11177,Human,DB00973; DB01094
Q9H244,P2Y purinoceptor 12,P2RY12,12083902,AF313449,Q9H244,P2Y12_HUMAN,1T78; 1VZ1; 1Y9C; 4NTJ; 4PXZ; 4PY0,,P2RY12,HGNC:18124,Human,DB00208; DB00374; DB00758; DB01240; DB06209; DB06441; DB08816
P25021,Histamine H2 receptor,HRH2,184088,M64799,P25021,HRH2_HUMAN,"",,HRH2,HGNC:5183,Human,DB00272; DB00501; DB00585; DB00751; DB00863; DB00927; DB00940; DB01142; DB05381; DB08805; DB08806
P06746,DNA polymerase beta,POLB,292397,L11607,P06746,DPOLB_HUMAN,1BPX; 1BPY; 1BPZ; 1MQ2; 1MQ3; 1TV9; 1TVA; 1ZJM; 1ZJN; 1ZQA; 1ZQB; 1ZQC; 1ZQD; 1ZQE; 1ZQF; 1ZQG; 1ZQH; 1ZQI; 1ZQJ; 1ZQK; 1ZQL; 1ZQM; 1ZQN; 1ZQO; 1ZQP; 1ZQQ; 1ZQR; 1ZQS; 1ZQT; 2FMP; 2FMQ; 2FMS; 2I9G; 2ISO; 2ISP; 2P66; 2PXI; 3C2K; 3C2L; 3C2M; 3GDX; 3ISB; 3ISC; 3ISD; 3JPN; 3JPO; 3JPP; 3JPQ; 3JPR; 3JPS; 3JPT; 3LK9; 3MBY; 3OGU; 3RH4; 3RH5; 3RH6; 3RJE; 3RJF; 3RJG; 3RJH; 3RJI; 3RJJ; 3RJK; 3TFR; 3TFS; 4DO9; 4DOA; 4DOB; 4DOC; 4F5N; 4F5O; 4F5P; 4F5Q; 4F5R; 4GXI; 4GXJ; 4GXK; 4JWM; 4JWN; 4KLD; 4KLE; 4KLF; 4KLG; 4KLH; 4KLI; 4KLJ; 4KLL; 4KLM; 4KLO; 4KLQ; 4KLS; 4KLT; 4KLU; 4LVS; 4M2Y; 4M47; 4M9G; 4M9H; 4M9J; 4M9L; 4M9N; 4MF2; 4MF8; 4MFA; 4MFC; 4MFF; 4NLK; 4NLN; 4NLZ; 4NM1; 4NM2; 4NXZ; 4NY8; 4O5C; 4O5E; 4O5K; 4O9M; 4P2H; 4PGQ; 4PGX; 4PGY; 4PH5; 4PHA; 4PHD; 4PHE; 4PHP; 4PPX; 4R63; 4R64; 4R65; 4R66; 4RPX; 4RPY; 4RPZ; 4RQ0; 4RQ1; 4RQ2; 4RQ3; 4RQ4; 4RQ5; 4RQ6; 4RQ7; 4RQ8; 4RT2; 4RT3; 4TUP; 4TUQ; 4TUR; 4TUS; 4UAW; 4UAY; 4UAZ; 4UB1; 4UB2; 4UB3; 4UB4; 4UB5; 4UBB; 4UBC; 5BOL; 5BOM; 5BPC; 5DB6; 5DB7; 5DB8; 5DB9; 5DBA; 5DBB; 5DBC; 7ICE; 7ICF; 7ICG; 7ICH; 7ICI; 7ICJ; 7ICK; 7ICL; 7ICM; 7ICN; 7ICO; 7ICP; 7ICQ; 7ICR; 7ICS; 7ICT; 7ICU; 7ICV; 8ICA; 8ICB; 8ICC; 8ICE; 8ICF; 8ICG; 8ICH; 8ICI; 8ICJ; 8ICK; 8ICL; 8ICM; 8ICN; 8ICO; 8ICP; 8ICQ; 8ICR; 8ICS; 8ICT; 8ICU; 8ICV; 8ICW; 8ICX; 8ICY; 8ICZ; 9ICA; 9ICB; 9ICC; 9ICE; 9ICF; 9ICG; 9ICH; 9ICI; 9ICJ; 9ICK; 9ICL; 9ICM; 9ICN; 9ICO; 9ICP; 9ICQ; 9ICR; 9ICS; 9ICT; 9ICU; 9ICV; 9ICW; 9ICX; 9ICY,,POLB,HGNC:9174,Human,DB00987
P06149,D-lactate dehydrogenase,dld,145753,M10038,P06149,DLD_ECOLI,1F0X,,,,Escherichia coli (strain K12),DB00756
P06864,Evolved beta-galactosidase subunit alpha,ebgA,145821,M64441,P06864,BGA2_ECOLI,"",,,,Escherichia coli (strain K12),DB00581
Q16647,Prostacyclin synthase,PTGIS,10944956,D38145,Q16647,PTGIS_HUMAN,2IAG; 3B6H,,PTGIS,HGNC:9603,Human,DB00812; DB01240
Q05940,Synaptic vesicular amine transporter,SLC18A2,292335,L09118,Q05940,VMAT2_HUMAN,"",,SLC18A2,HGNC:10935,Human,DB00182; DB00206; DB00865; DB01089; DB01363; DB01442; DB01454; DB01472; DB01576; DB01577; DB04844; DB06706; DB06714; DB09363
O95477,ATP-binding cassette sub-family A member 1,ABCA1,9247086,AF275948,O95477,ABCA1_HUMAN,"",,ABCA1,HGNC:29,Human,DB01599
P17752,Tryptophan 5-hydroxylase 1,TPH1,37955,X52836,P17752,TPH1_HUMAN,1IN9; 1MLW; 3HF6; 3HF8; 3HFB,,TPH1,HGNC:12008,Human,DB00360; DB12095
P9WNL7,Probable arabinosyltransferase B,embB,,,P9WNL7,EMBB_MYCTU,"",,,,Mycobacterium tuberculosis,DB00330
P03372,Estrogen receptor,ESR1,31234,X03635,P03372,ESR1_HUMAN,1A52; 1AKF; 1ERE; 1ERR; 1G50; 1GWQ; 1GWR; 1HCP; 1HCQ; 1L2I; 1PCG; 1QKT; 1QKU; 1R5K; 1SJ0; 1UOM; 1X7E; 1X7R; 1XP1; 1XP6; 1XP9; 1XPC; 1XQC; 1YIM; 1YIN; 1ZKY; 2AYR; 2B1V; 2B1Z; 2B23; 2BJ4; 2FAI; 2G44; 2G5O; 2I0J; 2IOG; 2IOK; 2JF9; 2JFA; 2LLO; 2LLQ; 2OCF; 2OUZ; 2P15; 2POG; 2Q6J; 2Q70; 2QA6; 2QA8; 2QAB; 2QE4; 2QGT; 2QGW; 2QH6; 2QR9; 2QSE; 2QXM; 2QXS; 2QZO; 2R6W; 2R6Y; 2YAT; 2YJA; 3CBM; 3CBO; 3CBP; 3DT3; 3ERD; 3ERT; 3HLV; 3HM1; 3L03; 3OS8; 3OS9; 3OSA; 3Q95; 3Q97; 3UU7; 3UUA; 3UUC; 3UUD; 4AA6; 4DMA; 4IU7; 4IUI; 4IV2; 4IV4; 4IVW; 4IVY; 4IW6; 4IW8; 4IWC; 4IWF; 4JC3; 4JDD; 4MG5; 4MG6; 4MG7; 4MG8; 4MG9; 4MGA; 4MGB; 4MGC; 4MGD; 4O6F; 4PP6; 4PPP; 4PPS; 4PXM; 4Q13; 4Q50; 4TUZ; 4TV1; 4ZN9; 5AAU; 5AAV; 5AK2,,ESR1,HGNC:3467,Human,DB00255; DB00269; DB00286; DB00294; DB00304; DB00367; DB00396; DB00481; DB00539; DB00603; DB00655; DB00675; DB00783; DB00823; DB00882; DB00890; DB00947; DB00957; DB00977; DB01108; DB01185; DB01196; DB01357; DB01406; DB04573; DB04574; DB04575; DB04938; DB06202; DB06401; DB09070; DB09317; DB09318
P08192,Bifunctional protein FolC,folC,146020,M32445,P08192,FOLC_ECOLI,1W78; 1W7K,,,,Escherichia coli (strain K12),DB01015
P0A7X3,30S ribosomal protein S9,rpsI,535073,X02130,P0A7X3,RS9_ECOLI,1M5G; 2YKR; 3J9Y; 3J9Z; 3JA1; 4A2I; 4ADV; 4U1U; 4U1V; 4U20; 4U24; 4U25; 4U26; 4U27; 4V47; 4V48; 4V4H; 4V4Q; 4V4V; 4V4W; 4V50; 4V52; 4V53; 4V54; 4V55; 4V56; 4V57; 4V5B; 4V5H; 4V5Y; 4V64; 4V65; 4V66; 4V69; 4V6C; 4V6D; 4V6E; 4V6K; 4V6L; 4V6M; 4V6N; 4V6O; 4V6P; 4V6Q; 4V6R; 4V6S; 4V6T; 4V6V; 4V6Y; 4V6Z; 4V70; 4V71; 4V72; 4V73; 4V74; 4V75; 4V76; 4V77; 4V78; 4V79; 4V7A; 4V7B; 4V7C; 4V7D; 4V7I; 4V7S; 4V7T; 4V7U; 4V7V; 4V85; 4V89; 4V9C; 4V9D; 4V9O; 4V9P; 4WF1; 4WOI; 4WWW; 4YBB; 5AFI,,,,Escherichia coli (strain K12),DB00254; DB00560; DB00595; DB00618; DB01017; DB01301
P24046,Gamma-aminobutyric acid receptor subunit rho-1,GABRR1,182911,M62400,P24046,GBRR1_HUMAN,"",,GABRR1,HGNC:4090,Human,DB00231; DB00466; DB00546; DB00683; DB00690; DB00801; DB00829; DB00842; DB00897; DB01215; DB01558; DB01559; DB01567; DB01588; DB01589; DB01594; DB01595
